# H/D spectrum, scan rate =  50 nm/min; order = 1
3.803960000e+02  1.315357000e-09
3.811270000e+02  1.315357000e-09
3.818530000e+02  1.274884000e-09
3.825780000e+02  1.228500000e-09
3.833000000e+02  1.233957000e-09
3.840240000e+02  1.270109000e-09
3.847480000e+02  1.279659000e-09
3.854760000e+02  1.268518000e-09
3.862020000e+02  1.238732000e-09
3.869200000e+02  1.239187000e-09
3.876420000e+02  1.246008000e-09
3.883720000e+02  1.312856000e-09
3.890890000e+02  1.423587000e-09
3.898170000e+02  1.457011000e-09
3.905380000e+02  1.402668000e-09
3.912660000e+02  1.289663000e-09
3.919910000e+02  1.226681000e-09
3.927060000e+02  1.236685000e-09
3.934330000e+02  1.259195000e-09
3.941560000e+02  1.284207000e-09
3.948770000e+02  1.298986000e-09
3.956040000e+02  1.303761000e-09
3.963210000e+02  1.447461000e-09
3.970480000e+02  1.723947000e-09
3.977730000e+02  1.884246000e-09
3.984890000e+02  1.786702000e-09
3.992160000e+02  1.538638000e-09
3.999340000e+02  1.326043000e-09
4.006620000e+02  1.309445000e-09
4.013850000e+02  1.280796000e-09
4.021000000e+02  1.250783000e-09
4.028310000e+02  1.248281000e-09
4.035440000e+02  1.266926000e-09
4.042720000e+02  1.292165000e-09
4.049940000e+02  1.319222000e-09
4.057120000e+02  1.331500000e-09
4.064370000e+02  1.331273000e-09
4.071610000e+02  1.311264000e-09
4.078800000e+02  1.283297000e-09
4.086020000e+02  1.328544000e-09
4.093190000e+02  1.942226000e-09
4.100440000e+02  3.046125000e-09
4.107590000e+02  3.867854000e-09
4.114860000e+02  3.393097000e-09
4.122090000e+02  2.368324000e-09
4.129280000e+02  1.469061000e-09
4.136490000e+02  1.291710000e-09
4.143630000e+02  1.298758000e-09
4.150880000e+02  1.290118000e-09
4.158120000e+02  1.276931000e-09
4.165260000e+02  1.276476000e-09
4.172530000e+02  1.286480000e-09
4.179650000e+02  1.302169000e-09
4.186910000e+02  1.316039000e-09
4.194130000e+02  1.328999000e-09
4.201270000e+02  1.335138000e-09
4.208510000e+02  1.331500000e-09
4.215660000e+02  1.322860000e-09
4.222920000e+02  1.317630000e-09
4.230140000e+02  1.319222000e-09
4.237270000e+02  1.319222000e-09
4.244510000e+02  1.308308000e-09
4.251660000e+02  1.286480000e-09
4.258890000e+02  1.268745000e-09
